DealNumber;DealStatus;AcquirerName;Symbol;RumorDate;WithdrawalDate;Index
422919;Withdrawn;BROOKFIELD ASSET MANAGEMENT INC.;BAM;2007-01-17;2007-04-06;^NY
468315;Withdrawn;GAZ DE FRANCE SA;ENGI.PA;2007-11-09;2008-01-28;^BFX
479107;Withdrawn;COFINIMMO SA;COFB.BR;2007-05-21;2007-07-27;^BFX
506717;Withdrawn;VENTAS INC.;VEN.F;2007-01-15;2007-04-11;^NY
512807;Withdrawn;BW OFFSHORE LTD;BWO.OL;2007-02-21;2007-03-30;^STOXX50E
512885;Withdrawn;E.ON AG;EOAN.F;2007-02-02;2007-03-26;^GDAXI
516439;Withdrawn;SCOR SA;SCR.PA;2007-02-26;2007-05-10;^FCHI
518116;Withdrawn;MORGAN STANLEY;MS;2007-02-26;2007-03-22;^NY
518173;Withdrawn;HOLCIM LTD;SMCB.JK;2007-05-14;2007-07-13;^FCHI
521060;Withdrawn;OLAM INTERNATIONAL LTD;O32.SI;2007-03-07;2007-05-28;^STI
523617;Withdrawn;MWANA AFRICA PLC;ASA.L;2007-07-31;2007-08-24;^FTSE
524028;Withdrawn;BARCLAYS PLC;BARC.L;2007-04-23;2007-07-23;^FTSE
524360;Withdrawn;REPUBLIC GOLD LTD;BIG.AX;2007-03-15;2007-05-18;^AXJO
525919;Withdrawn;DENISON MINES CORPORATION;DML.TO;2007-03-23;2007-06-25;^XAX
536581;Withdrawn;SCOR SA;SCR.PA;2007-05-10;2007-06-1	2;^SBF250
537513;Withdrawn;HENRY SCHEIN INC.;HSIC;2007-06-11;2007-09-12;^IXIC
538040;Withdrawn;WIENERBERGER AG;WIE.VI;2007-05-16;2007-06-06;^ATX
540770;Withdrawn;OLAM INTERNATIONAL LTD;O32.SI;2007-05-28;2007-06-21;^STI
555284;Withdrawn;AUSTEVOLL SEAFOOD ASA;AUSS.OL;2007-07-10;2007-08-28;^STOXX50E
558604;Withdrawn;BARCLAYS PLC;BARC.L;2007-07-23;2007-10-04;^FTSE
561677;Withdrawn;DEERE & COMPANY;DE;2008-02-10;2008-06-05;^NY
579176;Withdrawn;BANK of NOVA SCOTIA THE;BNS.TO;2008-02-04;2008-03-05;^NY
